CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Exited
402,47.83594700569027,1,312.96098279749936,3,0,0,135201.22934732062,1,1,0
735,62.67938303402866,1,213636.0817230801,2,0,0,74001.6057891231,0,1,1
570,32.08216342052519,2,128301.34322986468,4,0,0,124112.1209125077,1,0,1
406,49.450497397606,6,116969.69043511545,1,0,1,114833.9358371652,1,1,0
371,76.7424433788474,8,60506.89284430593,4,1,0,81340.71238770711,0,1,1
320,78.83676602454631,7,113400.15757374918,4,1,0,45832.37350528392,1,1,0
421,40.40854032481409,8,240940.20818192724,4,1,0,93087.5193859805,1,1,1
766,72.1714218929737,5,53436.201214274166,4,1,0,143249.3945279554,0,0,1
514,69.97096999634655,0,45388.25861852134,2,1,0,44150.420143560754,0,1,0
630,60.67306483616421,3,61322.4757743958,2,0,0,53281.61787720501,0,0,0
758,31.31570850024898,5,139893.98947333166,1,0,1,149090.70932118245,1,0,0
387,49.673354863374016,5,235837.78229539774,3,0,0,136034.22672360466,0,1,1
672,66.78480163114112,7,145483.16512692792,3,0,1,91441.4804999706,1,1,0
399,54.29102989773439,0,61724.582073320744,4,0,1,110316.35441993296,1,0,0
430,38.80043284925067,10,111657.87150442283,4,1,1,77598.10308897118,0,0,0
608,25.461973278658647,1,98969.27824853745,2,0,0,72532.04795415819,0,1,1
643,21.758640620384917,1,11805.699961269105,3,1,1,77614.3803162078,0,1,0
791,39.38481249941103,5,129451.42964284509,1,1,1,73874.1519112533,0,1,0
713,51.202403030576946,10,31943.53721859113,4,1,0,107822.1514982921,1,1,1
685,53.79998002792454,6,213515.0020900055,2,0,0,62959.36134301361,1,0,0
491,33.49950321063516,1,139166.09779232647,4,0,1,42200.9328229898,1,0,0
576,72.76634196433575,4,214113.8979803224,4,0,1,111853.78065133932,0,0,0
460,26.581640003799716,5,242364.29493594778,2,1,1,24068.678515973646,0,1,0
759,30.491881445703285,3,239105.10470640886,3,1,0,113437.93535914262,1,0,0
613,68.90590560435909,0,25459.56807426104,3,0,0,54221.6804142949,0,0,1
321,26.107355241334588,2,239518.0125080458,4,1,0,44732.874572434186,1,1,0
552,54.1163178747164,9,201727.71577453718,3,1,1,69264.36721013818,0,0,0
774,49.81032527275816,8,197141.99646844424,2,1,0,35274.99492119701,0,0,0
358,71.9021346017098,5,22848.241723522,3,0,0,69983.65119309846,0,1,1
810,29.147954060221984,1,45508.28515027045,4,1,0,33301.823879373005,0,0,0
775,51.62514768811043,8,247211.02281168022,4,0,1,82853.53531142388,1,0,0
489,45.56271071522096,3,54090.88966451911,2,0,0,42902.067423039945,0,1,1
543,43.65268482930427,10,42856.251086927085,4,1,1,36899.55607909491,1,1,0
804,78.2883717988989,7,91858.77579453895,3,1,1,95284.25188262603,0,0,1
430,80.46889665124012,9,231542.45169022033,2,1,0,101281.85655858618,0,1,1
784,42.7235473420775,6,120718.51302736747,4,0,0,20717.28031124008,1,1,1
320,52.68207955005945,10,233374.68107106775,2,0,0,70398.06470517244,0,0,1
466,68.15282191277429,2,84757.3171577507,2,1,1,30134.291705621792,1,0,0
573,85.89399758131492,7,57426.66227643342,3,1,1,116023.77991958788,0,0,0
687,38.8906429317305,3,125537.57128183567,3,0,1,108597.98084033198,0,1,0
615,53.344432882637726,1,156027.87665374827,1,1,1,26464.787295718044,1,0,0
313,26.682007071305378,10,99247.84899681613,2,0,0,142362.57674727554,0,1,0
541,42.67745485784464,4,87721.25570218576,3,1,0,144794.84572160942,1,1,0
645,85.11727157742683,0,55279.61768528399,4,1,1,63507.31178650958,0,1,0
639,57.42987524246117,7,69716.2192080662,1,1,1,36979.64099670932,0,1,0
391,69.31009216958095,7,170640.30866124106,1,0,1,34864.62145215798,1,0,0
666,79.4258590433927,2,93765.63730239193,4,1,1,129293.66897701607,1,0,0
754,77.7943112025024,0,20218.99126484077,3,1,0,79691.17558256596,0,1,0
727,33.602488388736134,3,35023.39808955676,2,0,0,21236.097281409904,1,1,0
808,75.50919371158402,8,94400.83777960957,1,0,0,140295.7712430553,0,1,1
334,41.267427428449324,8,234368.10280401335,4,0,0,97055.8523824382,1,1,1
505,68.79913175251326,0,96086.93331600618,4,0,1,109751.60842866349,1,1,0
380,62.51570783764927,10,15373.208532055474,4,0,1,127062.01185903994,0,0,0
687,43.699570749975095,6,105964.59029148477,4,0,0,126415.23108330715,1,0,0
301,57.26732414623182,5,169550.1337342986,1,0,0,29854.633427644152,0,1,1
689,43.07048287657035,6,150480.9457369447,2,0,0,94618.99809397932,1,0,0
405,72.09237773457149,6,70678.58259853949,3,1,0,110511.80161953373,0,1,0
776,85.06270304943205,7,174435.55608817324,4,1,0,31130.656916051616,0,0,0
701,75.77121328500557,7,159867.8741267438,4,1,0,48912.11793573889,0,0,1
461,73.53430780582146,9,43647.10222040226,2,1,1,71455.87960715305,1,1,0
501,65.86238666025814,10,41104.939953152076,2,0,1,135248.2582203183,0,0,0
569,70.70728653075572,1,138714.898620461,3,0,0,130582.34185032564,0,0,0
570,67.26080107488833,3,167172.48056343448,1,0,0,121673.39018521908,0,1,0
755,24.02872172506543,3,243851.34269241156,2,0,1,148735.97251942748,0,0,0
761,54.42292498352647,10,106962.48949370638,1,0,1,51545.364707130095,0,1,0
551,33.538022819520535,9,193917.67135945015,1,1,0,80815.92530608393,0,1,1
595,69.46359905067936,7,29538.85852358414,4,1,1,78073.9916038601,0,1,0
637,48.19612632661965,2,225522.37099431144,1,0,1,108261.86373576013,1,0,0
352,82.48268109450025,2,160497.37519129852,4,1,1,130519.92725713992,0,1,0
516,40.0304091480204,1,159463.77273365547,4,0,1,83918.75818630436,0,1,0
487,29.10279883565627,0,36110.24565420387,3,0,1,83899.1331018766,0,1,0
679,72.41455894699232,7,10034.763880954404,1,1,1,99081.315670803,1,1,0
792,70.84877551385732,8,177822.4679301486,2,1,1,116521.6917880064,0,1,0
340,67.5721929632211,8,29674.66533646715,2,0,1,46169.10211170348,1,0,0
456,54.54805267006218,10,32187.85812405954,2,1,1,145041.74157155654,0,1,0
314,50.16017913373406,7,47532.653410169245,3,0,1,31966.95248139542,0,1,0
364,70.50921409743148,4,24779.44575328266,4,0,0,23003.009522655728,0,0,1
820,78.47868899675808,0,158541.56115651462,4,1,0,66642.88291442371,0,0,1
643,34.09520760698382,8,106981.29342633042,2,0,1,111186.54186880264,1,1,0
428,72.2472348402506,5,67457.29846469962,4,0,0,147149.74534367683,0,1,0
771,78.9181276576957,6,111733.1847295326,4,1,0,141258.85926003073,1,0,1
362,58.99138641643847,7,213995.64176110784,3,0,1,109503.36814812035,1,1,0
438,35.2690065381388,4,235021.38479452798,1,0,0,76750.94354554234,1,0,0
798,62.73912053840763,5,123578.75490218334,1,1,1,97454.2324334816,1,0,0
691,42.54849437423203,6,143675.9939024607,3,1,0,145925.44798234222,1,1,0
718,40.73237624834221,6,65202.05655381578,3,1,0,54515.13860177314,0,0,1
588,36.09493353452103,1,130201.43858401016,4,0,0,82176.49317274772,1,1,1
678,47.65014983761268,10,189653.7718962492,3,0,1,110077.21979324358,0,0,0
789,75.42011337788958,0,124760.38253489044,4,1,0,21338.85467655232,1,1,1
530,84.63358700322874,7,76577.6815514839,1,1,1,69563.98423809676,1,0,0
340,85.15566044284961,4,147549.94829849605,3,0,0,93828.5860445482,1,0,1
327,84.03554661176909,9,239984.20210015416,4,1,0,137119.3763113811,1,0,1
434,31.62550460874266,1,225110.3777118961,1,0,1,148959.6960080227,0,0,0
500,51.8227488997375,2,195008.54858052172,1,0,0,92322.17280960146,0,0,0
332,53.349865591556046,5,70021.15461675028,2,1,1,142795.4373710312,0,0,0
347,40.61482681474125,9,61237.095320449145,1,0,1,32904.516971290104,0,0,0
802,47.45074023185913,5,212575.2880236482,3,1,1,111165.2072464811,1,0,0
706,34.708166118758086,7,45965.30144498103,3,0,1,72072.06738010832,0,0,0
398,53.291223385400436,4,153526.87952984605,4,0,0,117626.54948334202,0,0,0
846,54.799349531499004,4,111271.9391752606,3,0,1,132804.06082380205,0,0,0
761,75.14931214630354,6,118637.97967012502,1,1,1,26984.157018662023,1,0,0
304,68.76801906640449,9,115230.06479278977,4,0,1,141611.56067541632,0,1,0
517,48.41504499411168,4,228143.92011984982,1,0,0,28860.305030882897,1,1,0
802,41.506423709357044,8,22079.02725670887,2,1,0,117941.78842500986,0,0,0
697,60.299247310728276,5,198471.22243013792,4,1,1,28979.06858678826,0,0,0
692,26.83685921100402,6,211681.7969711715,2,0,0,132018.68168927557,0,1,0
506,29.706827994714345,7,239026.22753732398,4,1,0,46647.59172292099,0,0,0
314,29.267782803768668,4,114737.38666688984,3,0,1,76429.1430565391,1,0,0
760,45.29825537366516,10,126770.17011209813,1,0,1,141240.71788012184,1,0,1
540,27.197935790541187,3,243695.16605030923,4,0,0,122968.75273471698,1,1,0
395,72.59567757150118,7,116220.68467772877,3,0,0,122150.78224940364,0,0,0
784,29.330841505211257,9,127653.20725087164,3,0,0,119232.9087319104,0,1,0
706,48.587496716241155,8,84228.89079404727,3,0,0,94026.56168221784,1,0,1
530,73.08727957357038,0,8017.789217394161,2,1,1,143685.90589827413,0,1,0
470,68.94544243835614,2,109782.48453461124,3,0,0,128112.64447726232,1,1,1
840,28.676268110476265,3,166070.42094195646,4,0,0,77237.4526477004,0,0,0
335,23.583427373812203,6,174906.31596771107,2,1,0,116532.272924802,1,1,0
824,90.79200735185402,5,1649.989413676509,1,0,1,149753.97160318296,1,1,0
459,67.21174864341015,9,203072.71566640833,3,0,0,133230.06070080597,1,0,0
542,45.45062510468901,9,124830.94640797452,4,0,1,20158.988880482284,0,1,0
385,35.61708956739963,10,132012.74377629976,4,0,1,115925.20371411712,0,0,0
327,45.62276873355537,0,243809.03316534957,2,1,1,136724.616396391,0,0,0
639,61.23000877352114,3,72112.97658413576,1,0,0,62607.8387012916,0,1,1
630,27.94251274950196,5,193084.32935189595,2,1,0,147073.94128364435,1,1,0
805,74.16313875907092,2,145709.96666519484,3,1,1,72168.91753258601,0,1,0
647,86.29217036548746,1,177657.51671453932,1,1,0,74753.00076073493,1,1,0
772,58.52713035912892,1,105919.76865703192,1,0,1,40913.37205824209,0,0,0
530,76.72695109047379,9,70781.14570926734,1,0,1,32557.295613312854,1,0,0
489,81.3899157218345,3,138446.90853847205,2,1,0,89757.441036038,1,0,1
524,63.15123231342923,0,95050.31279181446,4,1,1,98360.8175860936,0,1,0
684,66.29102643070749,9,56509.60818427675,2,0,1,67696.54719588198,0,1,0
676,37.84413062273055,1,212752.4790500964,4,0,0,98859.22267597726,1,1,0
582,26.30121592114994,9,120626.77671167634,2,0,1,71307.21082999918,1,1,0
558,33.68632821035735,1,214800.71477104377,4,0,0,132864.04800319936,0,0,0
658,27.06183825920741,3,120170.4603927009,4,0,0,143997.00877599698,1,1,0
755,73.93105540618767,3,141152.2737479167,1,1,1,97160.29222029184,1,0,0
710,26.79330121279229,0,252310.79376769,4,1,1,129495.68279094408,1,0,0
617,33.53471506238093,6,241213.2513501406,3,1,0,130986.39483315,0,1,0
524,38.720872547583305,6,68875.36201472773,3,0,1,112789.1497377854,0,1,0
533,64.68168880893757,9,220210.47034575514,4,1,0,44960.245594200285,0,0,0
673,85.18771089996494,10,98970.12798251472,4,0,1,40141.95067875674,1,1,0
771,68.30061625899828,9,18062.07424894174,4,1,0,139532.95166581054,1,1,0
532,23.17799936180278,9,145964.68296725338,4,0,1,54457.97009013648,0,1,0
412,41.78984512753384,0,247689.76613626172,1,1,0,52023.01014353668,0,1,1
796,49.926126893786574,10,246995.61946742467,3,1,1,41596.73592845744,0,0,0
741,36.271697916899626,7,32059.89491580597,1,0,1,88569.02619839607,1,1,0
567,29.189696130706423,9,195514.114979516,3,0,0,108009.67350289656,0,0,0
809,32.85577314366726,6,203524.02695172513,4,1,0,107900.99107210842,0,0,0
685,76.32053323460661,6,93479.48986287953,3,1,1,53936.85095485427,1,1,0
686,58.98090937386462,10,166958.67760608072,3,0,1,32322.1038204531,1,1,0
412,74.11898595784659,5,123751.98495525513,2,0,1,60327.23451195183,1,1,1
380,46.08341595581286,3,57772.5609236036,2,0,1,85446.52180144217,0,1,0
412,70.14132437882917,10,192986.04261377844,4,1,0,99617.19940277022,1,1,0
301,36.644482540926994,7,66609.72610612433,1,1,1,55178.04752838805,0,0,0
519,67.23513319470976,1,86305.98623455576,2,0,1,43810.59348704922,1,1,0
524,28.16452375476128,6,48171.05030779644,4,1,0,129404.84172534203,1,0,0
684,74.76108439023466,2,182340.51683138215,1,0,1,131530.37112580455,0,1,0
702,36.67116635832403,2,116289.89036246353,2,1,0,56394.31688965625,0,0,0
429,74.65826487299995,6,112398.350957002,3,0,1,92814.66992808266,0,0,0
352,58.38367646874863,2,153261.09219862663,2,0,0,77177.44007891163,1,0,1
715,53.628479702134534,4,39867.42985396246,4,1,0,38455.7364119221,1,0,0
546,40.023395702240805,7,227688.5558562291,2,0,1,142276.20968196105,1,0,0
738,51.07431575174812,3,117908.50964892367,2,0,0,21271.781653198585,0,1,0
502,72.54106843696766,6,92917.22955250458,1,1,1,44384.928140773016,0,1,0
